d_model,seq_len,fwd_ms,bwd_ms,mem_usage_mb,peak_mb,compile,warmup,steps
16,256,0.1560204792022705,0.5886748790740967,70.515625,72.390625,0,5,100
16,256,0.35206241607666017,0.506776320040226,68.515625,68.515625,1,5,100
16,1024,0.19571231842041015,0.8058614361286164,162.0625,193.5625,0,5,100
16,1024,0.33467105865478514,0.5205145600438118,130.0625,130.0625,1,5,100
16,4096,2.5153875732421875,7.86095103263855,1608.25,2118.25,0,5,100
16,4096,1.2417577362060548,2.2329782366752626,1096.25,1096.25,1,5,100
16,8192,9.804907836914062,30.282382793426514,6224.5,8268.5,0,5,100
16,8192,4.815888977050781,9.630248336791992,4176.5,4176.5,1,5,100
16,16384,38.86340087890625,119.87670364379883,24673.0,32857.0,0,5,100
16,16384,19.97295166015625,44.07315704345703,16481.0,16481.0,1,5,100
32,256,0.16588191986083983,0.593053759932518,71.015625,72.765625,0,5,100
32,256,0.3340460968017578,0.5214137628674507,69.015625,69.015625,1,5,100
32,1024,0.20418176651000977,0.8141392010450363,164.0625,195.0625,0,5,100
32,1024,0.33757598876953127,0.585287041068077,132.0625,132.0625,1,5,100
32,4096,2.5965914916992188,8.033296284675599,1616.25,2124.25,0,5,100
32,4096,1.316923828125,2.32080607175827,1104.25,1104.25,1,5,100
32,8192,10.128777465820313,30.553950061798094,6240.5,8280.5,0,5,100
32,8192,5.144070434570312,9.975724153518676,4192.5,4192.5,1,5,100
32,16384,40.25919189453125,121.46986106872559,24705.0,32881.0,0,5,100
32,16384,21.168310546875,45.35876525878906,16513.0,16513.0,1,5,100
64,256,0.16593311309814454,0.6145123225450516,72.015625,73.515625,0,5,100
64,256,0.3466012954711914,0.5091251230239868,70.015625,70.015625,1,5,100
64,1024,0.2235737609863281,0.8262275207042694,168.0625,198.0625,0,5,100
64,1024,0.3430758285522461,0.5116886398196221,136.0625,136.0625,1,5,100
64,4096,2.8798455810546875,8.45039813041687,1632.25,2136.25,0,5,100
64,4096,1.606457977294922,2.83047486782074,1120.25,1120.25,1,5,100
64,8192,11.35456298828125,33.056021461486814,6272.5,8304.5,0,5,100
64,8192,6.355642700195313,12.488340425491334,4224.5,4224.5,1,5,100
64,16384,45.352958984375,130.03847213745118,24769.0,32929.0,0,5,100
64,16384,26.44399169921875,54.69995876312256,16577.0,16577.0,1,5,100
128,256,0.1664908790588379,0.7565504014492035,74.015625,75.015625,0,5,100
128,256,0.35520641326904295,0.7070617616176605,72.015625,72.015625,1,5,100
128,1024,0.2628028869628906,0.956140478849411,176.0625,204.0625,0,5,100
128,1024,0.3377916717529297,0.6754448014497757,144.0625,144.0625,1,5,100
128,4096,3.486654968261719,9.698323516845702,1664.25,2160.25,0,5,100
128,4096,2.2077510070800783,4.110122575759887,1152.25,1152.25,1,5,100
128,8192,13.647684326171875,37.33731147766113,6336.5,8352.5,0,5,100
128,8192,8.650894165039062,16.85357799530029,4288.5,4288.5,1,5,100
128,16384,54.1862451171875,147.46177627563478,24897.0,33025.0,0,5,100
128,16384,35.467021484375,72.46173629760742,16705.0,16705.0,1,5,100
